open_issues,bugs,security_issues,open_prs,recent_commits,risk_score,risk_level
102,19,4,14,42,279.0,High
71,20,6,74,10,412.2,High
87,20,3,23,2,310.5,High
21,20,1,29,37,162.29999999999998,Medium
1,20,0,75,21,208.5,Medium
107,24,0,58,41,310.2,High
91,15,6,61,46,343.5,High
61,18,3,54,2,313.8,High
100,18,6,20,8,356.4,High
38,17,3,59,13,274.5,High
113,8,1,52,1,278.40000000000003,High
83,14,3,70,43,291.0,High
7,14,2,77,16,224.70000000000002,Medium
35,17,7,3,1,273.3,High
5,21,1,3,28,120.9,Medium
62,17,1,43,33,219.29999999999998,Medium
73,3,5,47,14,249.3,Medium
71,13,6,61,39,315.9,High
84,15,4,52,23,313.2,High
25,24,3,59,44,263.7,High
40,14,4,64,24,271.2,High
70,8,7,0,43,206.4,Medium
7,23,6,10,16,250.2,High
7,2,2,32,4,99.60000000000001,Low
105,6,1,40,27,207.6,Medium
6,8,7,11,33,158.1,Medium
32,15,6,22,23,241.79999999999998,Medium
36,2,3,34,0,160.2,Medium
98,4,6,77,2,362.70000000000005,High
0,4,1,13,38,15.899999999999999,Low
26,8,6,14,25,178.2,Medium
41,12,2,62,31,213.0,Medium
102,16,3,3,29,242.09999999999997,Medium
100,22,6,14,42,330.6,High
28,3,4,31,6,162.9,Medium
58,18,5,27,1,306.90000000000003,High
41,12,5,56,5,289.2,High
27,11,3,29,10,183.9,Medium
118,24,6,61,32,446.70000000000005,High
0,24,2,61,12,257.1,High
104,2,6,69,7,339.90000000000003,High
26,8,5,36,32,184.79999999999998,Medium
50,9,3,23,14,185.7,Medium
58,21,7,51,48,340.5,High
61,16,1,51,11,250.5,High
38,1,2,55,16,150.9,Medium
58,16,1,1,27,152.7,Medium
53,22,4,0,18,246.00000000000003,Medium
1,20,3,31,5,215.7,Medium
31,22,3,54,10,292.2,High
55,16,6,37,23,297.9,High
68,19,1,69,21,291.90000000000003,High
10,15,7,72,5,330.0,High
79,2,3,58,35,205.8,Medium
18,2,6,18,19,145.79999999999998,Medium
95,6,3,32,39,205.2,Medium
38,17,7,0,10,261.6,High
91,24,0,49,22,300.3,High
30,9,2,6,15,117.0,Low
89,15,0,59,48,227.70000000000002,Medium
1,0,7,11,4,138.89999999999998,Medium
36,22,0,18,47,145.79999999999998,Medium
79,2,3,23,32,156.9,Medium
23,19,2,71,35,242.10000000000002,Medium
37,7,3,24,28,142.8,Medium
17,13,1,65,34,173.10000000000002,Medium
79,8,3,32,3,241.20000000000002,Medium
32,13,4,47,19,236.09999999999997,Medium
119,7,6,66,16,372.59999999999997,High
32,15,3,58,21,244.2,Medium
118,21,5,29,37,356.70000000000005,High
101,12,2,53,7,300.3,High
26,1,4,29,32,114.29999999999998,Low
27,14,7,68,47,288.0,High
18,3,2,63,48,112.5,Low
16,11,3,29,28,149.1,Medium
45,20,5,36,23,290.4,High
92,16,5,52,30,338.4,High
98,0,3,62,20,240.60000000000002,Medium
31,22,0,66,17,247.79999999999998,Medium
24,9,6,53,2,267.90000000000003,High
103,13,7,31,46,318.90000000000003,High
85,22,1,26,41,241.8,Medium
1,16,7,32,8,261.59999999999997,High
42,21,7,38,28,325.79999999999995,High
41,22,1,49,24,243.89999999999998,Medium
23,12,3,6,35,120.6,Medium
44,19,0,7,45,123.30000000000001,Medium
15,13,3,14,27,138.6,Medium
97,1,7,62,21,316.2,High
50,24,1,62,21,289.8,High
57,21,0,51,41,221.7,Medium
69,14,5,59,36,302.1,High
96,7,4,59,43,266.09999999999997,High
107,4,6,67,5,354.9,High
108,19,5,46,34,361.8,High
54,7,3,15,12,168.9,Medium
113,9,5,18,16,287.40000000000003,High
119,18,3,57,25,360.29999999999995,High
100,20,5,22,8,353.4,High
11,20,0,57,0,218.7,Medium
110,1,7,47,24,305.7,High
103,12,4,0,15,249.60000000000002,Medium
60,6,7,62,4,322.2,High
21,22,2,75,25,275.7,High
15,18,4,56,28,248.4,Medium
77,4,6,61,4,311.09999999999997,High
75,15,1,47,20,244.5,Medium
38,3,0,22,9,85.8,Low
117,4,3,33,30,231.89999999999998,Medium
9,18,1,0,4,132.0,Medium
108,3,7,23,15,290.1,High
118,1,0,31,26,162.9,Medium
83,23,3,49,34,324.3,High
32,0,4,50,42,135.0,Medium
100,11,2,64,32,279.6,High
39,9,2,43,28,167.70000000000002,Medium
12,11,6,45,1,254.70000000000002,High
114,17,2,7,28,251.69999999999996,High
25,9,1,33,40,103.5,Low
6,3,1,74,28,120.6,Medium
119,3,0,20,35,148.79999999999998,Medium
9,4,0,23,34,28.5,Low
48,2,7,35,17,227.7,Medium
112,6,7,23,22,304.5,High
61,4,3,54,12,217.79999999999998,Medium
22,24,2,29,16,230.70000000000002,Medium
112,19,7,12,18,370.79999999999995,High
48,3,3,60,40,171.6,Medium
18,11,0,70,27,160.2,Medium
77,19,2,15,4,260.09999999999997,High
98,11,0,51,20,236.10000000000002,Medium
99,20,6,15,38,323.7,High
108,20,1,57,38,307.5,High
13,4,2,74,17,166.2,Medium
110,11,0,73,43,255.9,High
16,5,6,45,12,210.29999999999998,Medium
39,9,0,49,26,143.10000000000002,Medium
65,4,4,36,37,183.6,Medium
82,7,7,64,21,337.2,High
