owner,repo
openai,openai-python
langchain-ai,langchain
run-llama,llama_index
tiangolo,fastapi
encode,django-rest-framework
apache,airflow
apache,kafka
apache,hadoop
apache,superset
apache,beam
rust-lang,rust
golang,go
nodejs,node
denoland,deno
vercel,next.js
sveltejs,svelte
tailwindlabs,tailwindcss
microsoft,TypeScript
microsoft,terminal
microsoft,PowerToys
microsoft,playwright
electron,electron
webpack,webpack
vitejs,vite
storybookjs,storybook
opencv,opencv
matplotlib,matplotlib
scipy,scipy
jupyterlab,jupyterlab
ipython,ipython
pytest-dev,pytest
pypa,pip
home-assistant,core
ansible,awx
prometheus,prometheus
jenkinsci,jenkins
gitlabhq,gitlabhq
helm,helm
istio,istio
envoyproxy,envoy
hashicorp,vault
hashicorp,consul
elastic,kibana
elastic,beats
grafana,loki
grafana,k6
mongodb,mongo
postgres,postgres
supabase,supabase
prisma,prisma
nestjs,nest
strapi,strapi
octocat,Hello-World
streamlit,streamlit
pandas-dev,pandas
numpy,numpy
scikit-learn,scikit-learn
django,django
fastapi,fastapi
keras-team,keras
plotly,plotly.py
psf,requests
apache,spark
tensorflow,tensorflow
microsoft,vscode
facebook,react
vuejs,vue
angular,angular
pallets,flask
huggingface,transformers
pytorch,pytorch
kubernetes,kubernetes
ansible,ansible
hashicorp,terraform
redis,redis
elastic,elasticsearch
grafana,grafana
apache,flink
apache,camel
apache,druid
apache,iceberg
apache,arrow
apache,seatunnel
spring-projects,spring-framework
spring-projects,spring-boot
quarkusio,quarkus
keycloak,keycloak
elastic,logstash
opensearch-project,OpenSearch
prometheus,alertmanager
grafana,tempo
grafana,mimir
mlflow,mlflow
ray-project,ray
dask,dask
prefecthq,prefect
dagster-io,dagster
dbt-labs,dbt-core
apache,airflow
apache,nifi
trinodb,trino
ClickHouse,ClickHouse
duckdb,duckdb
minio,minio
etcd-io,etcd
containerd,containerd
docker,compose
moby,moby
open-telemetry,opentelemetry-collector
open-telemetry,opentelemetry-python
open-telemetry,opentelemetry-java
grpc,grpc
protocolbuffers,protobuf
temporalio,temporal
supabase,supabase
prisma,prisma
typeorm,typeorm
sequelize,sequelize
laravel,framework
rails,rails
phoenixframework,phoenix
elixir-lang,elixir
JetBrains,kotlin
scala,scala
ziglang,zig
JuliaLang,julia
r-lib,rlang
tidyverse,ggplot2
c:\Users\ranir\OneDrive\Pictures\Screenshots\ai_prediction.png.png 
c:\Users\ranir\OneDrive\Pictures\Screenshots\dashboard.png.png 
c:\Users\ranir\OneDrive\Pictures\Screenshots\history.png.png
c:\Users\ranir\OneDrive\Pictures\Screenshots\model_analytics.png.png 
c:\Users\ranir\OneDrive\Pictures\Screenshots\shap_explanation.png.png 
c:\Users\ranir\OneDrive\Pictures\Screenshots\trend_analytics.png.png
